NUTR_NIAC,NUTR_FDFE,NUTR_VB2,NUTR_ATOC,NUTR_CARB,NUTR_PHOS,NUTR_FIBE,NUTR_VK,NUTR_PROT,NUTR_CALC,NUTR_COPP,FoodCode,Desc,kcal_per_100g,core_score_per_100kcal_x,core_score_per_100g,core_score_per_100kcal_y,core_score_per_100kcal,tags,multiplier,guarded_score_per_100kcal
-0.5224570413241719,-0.3502220904723767,-0.1126912521268331,-0.6156758296386576,-1.496713411437789,-11.861092653422668,-0.4387820428776212,-76.40950192688318,-0.3790875426202505,-28.924097868289778,-0.021625445619074,72120210,"Lambsquarter, cooked, fat not added in cooking",32.0,-121.1319471047124,-38.762223073508,-121.13194710471252,-121.1319471047124,uncategorized,1.0,-121.1319471047124
-0.334580062317394,-1.1029216309479293,-0.0804454069236595,-0.8185216826886887,-1.9701874729590207,-12.370680337791937,-0.5200379767438473,-86.05262808167053,-0.228883044600906,-14.966001006817644,-0.0134166029963234,72113100,"Dandelion greens, raw",45.0,-118.45830330645788,-53.30623648790608,-118.458303306458,-118.45830330645788,leafy_green,1.0,-118.45830330645788
-0.5837508841610859,-0.6504124537344139,-0.1131263534863962,-0.234224500406011,-1.656322688713851,-20.032067592447177,-0.2298382129358968,-84.24477943881587,-0.3099457895637268,-9.116155359266427,-0.0187567640573601,72110100,"Cress, raw",32.0,-117.1893800375882,-37.50060161202826,-117.18938003758832,-117.1893800375882,uncategorized,1.0,-117.1893800375882
-0.3284571641546376,-0.4980936397829358,-0.0444770278664463,-0.3717849212793827,-1.8952346886616669,-6.325916081825423,-0.5200379767438473,-85.85640067308243,-0.3136545426012416,-21.00842387320658,-0.0053941020818551,72107212,"Collards, frozen, cooked, no added fat",36.0,-117.16787469128644,-42.18043488886317,-117.16787469128656,-117.16787469128644,uncategorized,1.0,-117.16787469128644
-0.1681202546383927,-0.6840701611304605,-0.0281629243644454,-0.5791733100948636,-0.8541697171549114,-9.20133248265516,-0.2583305533824956,-97.9353157407805,-0.1629924711551906,-4.419954113583723,-0.0149251684050009,72104220,"Chard, cooked",44.0,-114.30654689734514,-50.294880634831905,-114.30654689734524,-114.30654689734514,leafy_green,1.0,-114.30654689734514
-0.3812109477603062,-0.7471404596744037,-0.1000410829691663,-0.8050382828769564,-0.8601724293172537,-12.183245787219333,-0.3962194108524551,-88.97485033538602,-0.4026646155015939,-9.07030364049554,-0.0107228211081727,72125100,"Spinach, raw",27.0,-113.9316098131612,-30.761534649553557,-113.93160981316132,-113.9316098131612,leafy_green,1.0,-113.9316098131612
-0.3812109477603062,-0.7471404596744037,-0.1000410829691663,-0.8050382828769564,-0.8601724293172537,-12.183245787219333,-0.3962194108524551,-88.97485033538602,-0.4026646155015939,-9.07030364049554,-0.0107228211081727,89902060,"Spinach, for use on a sandwich",27.0,-113.9316098131612,-30.761534649553557,-113.93160981316132,-113.9316098131612,leafy_green,1.0,-113.9316098131612
-0.6448670636854291,-0.556874876775953,-0.0962519877155157,-0.232769689844483,-1.5795950131734309,-17.60254909725335,-0.2034931213345489,-82.3217838796847,-0.3134702567360233,-9.551656071544857,-0.01734640890829,72127000,"Thistle leaves, cooked, fat not added in cooking",23.0,-113.12065746665658,-26.017751217331035,-113.1206574666567,-113.12065746665658,uncategorized,1.0,-113.12065746665658
-0.6448670636854291,-0.556874876775953,-0.0962519877155157,-0.232769689844483,-1.5795950131734309,-17.60254909725335,-0.2034931213345489,-82.3217838796847,-0.3134702567360233,-9.551656071544857,-0.01734640890829,72110213,"Cress, cooked, from canned, fat not added in cooking",23.0,-113.12065746665658,-26.017751217331035,-113.1206574666567,-113.12065746665658,uncategorized,1.0,-113.12065746665658
-0.6448670636854291,-0.556874876775953,-0.0962519877155157,-0.232769689844483,-1.5795950131734309,-17.60254909725335,-0.2034931213345489,-82.3217838796847,-0.3134702567360233,-9.551656071544857,-0.01734640890829,72110210,"Cress, cooked, NS as to form, fat not added in cooking",23.0,-113.12065746665658,-26.017751217331035,-113.1206574666567,-113.12065746665658,uncategorized,1.0,-113.12065746665658
-0.6448670636854291,-0.556874876775953,-0.0962519877155157,-0.232769689844483,-1.5795950131734309,-17.60254909725335,-0.2034931213345489,-82.3217838796847,-0.3134702567360233,-9.551656071544857,-0.01734640890829,72110211,"Cress, cooked, from fresh, fat not added in cooking",23.0,-113.12065746665658,-26.017751217331035,-113.1206574666567,-113.12065746665658,uncategorized,1.0,-113.12065746665658
-0.2881252848853263,-0.8684294953358329,-0.0729915492891246,-0.7852097537420561,-1.8514311134229533,-10.73488789643102,-0.5875753763209703,-82.34013616195539,-0.2288830446009059,-15.16971905649722,-0.0121969118148395,72113210,"Dandelion greens, cooked, fat not added in cooking",33.0,-112.93958564429563,-37.27006326261758,-112.93958564429572,-112.93958564429563,leafy_green,1.0,-112.93958564429563
-0.2406427174235817,-0.9182293464485844,-0.0716637533397985,-1.1116806540278577,-1.357653164310476,-12.403757023187104,-0.7276161607382403,-78.87951646466682,-0.4487902835311881,-16.20649841647365,-0.0167188319071832,72125212,"Spinach, frozen, cooked, no added fat",34.0,-112.38276681605448,-38.21014071745856,-112.3827668160546,-112.38276681605448,leafy_green,1.0,-112.38276681605448
-0.2400933048267242,-0.9182293464485844,-0.0716637533397985,-1.1085314170476088,-1.3548188153244418,-12.403757023187104,-0.7276161607382403,-78.70393601622014,-0.4476683078223603,-16.10057359022219,-0.0166149882307411,72125210,"Spinach, cooked, NS as to form, fat not added in cooking",34.0,-112.09350272340794,-38.111790925958736,-112.09350272340802,-112.09350272340794,leafy_green,1.0,-112.09350272340794
-0.33437250644747,-1.8011421795722231,-0.0598699470758773,-1.0064961388875446,-1.9803596365422331,-13.91701538001593,-0.7020512686041941,-80.93966039310776,-0.3566760778364118,-10.44418786839413,-0.0285985484921631,72104210,"Chard, cooked, fat not added in cooking",20.0,-111.57042994497594,-22.314085988995203,-111.57042994497604,-111.57042994497594,leafy_green,1.0,-111.57042994497594
-0.3539373781860899,-1.2723858204229506,-0.0439681373874252,-0.8284150751202075,-1.4252300111880332,-9.322402646900624,-0.457477017135565,-75.14535157643039,-0.2730534567168703,-22.366863311624453,-0.015423518679984,72128510,"Turnip greens, canned, low sodium, cooked, fat not added in cooking",19.0,-111.50450794979258,-21.185856510460617,-111.50450794979268,-111.50450794979258,leafy_green,1.0,-111.50450794979258
-0.3539373781860899,-1.2723858204229506,-0.0439681373874252,-0.8284150751202075,-1.4252300111880332,-9.322402646900624,-0.457477017135565,-75.14535157643039,-0.2730534567168703,-22.366863311624453,-0.015423518679984,72128237,"Turnip greens, canned, reduced sodium, cooked, no added fat",19.0,-111.50450794979258,-21.185856510460617,-111.50450794979268,-111.50450794979258,leafy_green,1.0,-111.50450794979258
-0.3509879000345392,-1.263959424261209,-0.0439681373874252,-0.8227795984187095,-1.4150860253432782,-9.322402646900624,-0.457477017135565,-74.54314144184575,-0.2710457107115991,-22.17731362254289,-0.0152376931537191,72107213,"Collards, canned, cooked, no added fat",19.0,-110.68339921773531,-21.029845851369725,-110.6833992177354,-110.68339921773531,uncategorized,1.0,-110.68339921773531
-0.3509879000345392,-1.263959424261209,-0.0439681373874252,-0.8227795984187095,-1.4150860253432782,-9.322402646900624,-0.457477017135565,-74.54314144184575,-0.2710457107115991,-22.17731362254289,-0.0152376931537191,72128213,"Turnip greens, canned, cooked, no added fat",19.0,-110.68339921773531,-21.029845851369725,-110.6833992177354,-110.68339921773531,leafy_green,1.0,-110.68339921773531
-0.3509879000345392,-1.263959424261209,-0.0439681373874252,-0.8227795984187095,-1.4150860253432782,-9.322402646900624,-0.457477017135565,-74.54314144184575,-0.2710457107115991,-22.17731362254289,-0.0152376931537191,72122213,"Mustard greens, canned, cooked, no added fat",19.0,-110.68339921773531,-21.029845851369725,-110.6833992177354,-110.68339921773531,leafy_green,1.0,-110.68339921773531
