FoodCode,Desc,kcal_per_100g,core_score_per_100kcal,top_negative_terms,top_positive_terms
72128212,"Turnip greens, frozen, cooked, no added fat",29.0,-122.77510882639187,NUTR_VK(-88.740); NUTR_CALC(-18.877); NUTR_PHOS(-9.889); NUTR_CARB(-1.648); NUTR_FDFE(-1.066); NUTR_ATOC(-0.978); NUTR_FIBE(-0.784); NUTR_PROT(-0.439); NUTR_NIAC(-0.301); NUTR_VB2(-0.036); NUTR_COPP(-0.018),NUTR_VK(+-88.740); NUTR_CALC(+-18.877); NUTR_PHOS(+-9.889); NUTR_CARB(+-1.648); NUTR_FDFE(+-1.066); NUTR_ATOC(+-0.978); NUTR_FIBE(+-0.784); NUTR_PROT(+-0.439); NUTR_NIAC(+-0.301); NUTR_VB2(+-0.036); NUTR_COPP(+-0.018)
72128210,"Turnip greens, cooked, NS as to form, fat not added in cooking",29.0,-122.3838642405273,NUTR_VK(-88.482); NUTR_CALC(-18.752); NUTR_PHOS(-9.889); NUTR_CARB(-1.645); NUTR_FDFE(-1.066); NUTR_ATOC(-0.975); NUTR_FIBE(-0.784); NUTR_PROT(-0.438); NUTR_NIAC(-0.300); NUTR_VB2(-0.036); NUTR_COPP(-0.018),NUTR_VK(+-88.482); NUTR_CALC(+-18.752); NUTR_PHOS(+-9.889); NUTR_CARB(+-1.645); NUTR_FDFE(+-1.066); NUTR_ATOC(+-0.975); NUTR_FIBE(+-0.784); NUTR_PROT(+-0.438); NUTR_NIAC(+-0.300); NUTR_VB2(+-0.036); NUTR_COPP(+-0.018)
72122212,"Mustard greens, frozen, cooked, no added fat",19.0,-122.29449846689683,NUTR_VK(-87.478); NUTR_CALC(-19.145); NUTR_PHOS(-10.654); NUTR_CARB(-1.572); NUTR_FIBE(-0.985); NUTR_FDFE(-0.944); NUTR_ATOC(-0.761); NUTR_PROT(-0.454); NUTR_NIAC(-0.253); NUTR_VB2(-0.039); NUTR_COPP(-0.011),NUTR_VK(+-87.478); NUTR_CALC(+-19.145); NUTR_PHOS(+-10.654); NUTR_CARB(+-1.572); NUTR_FIBE(+-0.985); NUTR_FDFE(+-0.944); NUTR_ATOC(+-0.761); NUTR_PROT(+-0.454); NUTR_NIAC(+-0.253); NUTR_VB2(+-0.039); NUTR_COPP(+-0.011)
72101210,"Beet greens, cooked, fat not added in cooking",27.0,-121.8214147055279,NUTR_VK(-88.569); NUTR_CALC(-15.073); NUTR_PHOS(-12.808); NUTR_CARB(-1.934); NUTR_FDFE(-1.121); NUTR_FIBE(-0.718); NUTR_ATOC(-0.714); NUTR_PROT(-0.360); NUTR_NIAC(-0.343); NUTR_VB2(-0.148); NUTR_COPP(-0.033),NUTR_VK(+-88.569); NUTR_CALC(+-15.073); NUTR_PHOS(+-12.808); NUTR_CARB(+-1.934); NUTR_FDFE(+-1.121); NUTR_FIBE(+-0.718); NUTR_ATOC(+-0.714); NUTR_PROT(+-0.360); NUTR_NIAC(+-0.343); NUTR_VB2(+-0.148); NUTR_COPP(+-0.033)
72122210,"Mustard greens, cooked, NS as to form, fat not added in cooking",19.0,-121.77906155685032,NUTR_VK(-87.163); NUTR_CALC(-18.955); NUTR_PHOS(-10.654); NUTR_CARB(-1.567); NUTR_FIBE(-0.985); NUTR_FDFE(-0.944); NUTR_ATOC(-0.755); NUTR_PROT(-0.454); NUTR_NIAC(-0.252); NUTR_VB2(-0.039); NUTR_COPP(-0.011),NUTR_VK(+-87.163); NUTR_CALC(+-18.955); NUTR_PHOS(+-10.654); NUTR_CARB(+-1.567); NUTR_FIBE(+-0.985); NUTR_FDFE(+-0.944); NUTR_ATOC(+-0.755); NUTR_PROT(+-0.454); NUTR_NIAC(+-0.252); NUTR_VB2(+-0.039); NUTR_COPP(+-0.011)
72120210,"Lambsquarter, cooked, fat not added in cooking",32.0,-121.13194710471241,NUTR_VK(-76.410); NUTR_CALC(-28.924); NUTR_PHOS(-11.861); NUTR_CARB(-1.497); NUTR_ATOC(-0.616); NUTR_NIAC(-0.522); NUTR_FIBE(-0.439); NUTR_PROT(-0.379); NUTR_FDFE(-0.350); NUTR_VB2(-0.113); NUTR_COPP(-0.022),NUTR_VK(+-76.410); NUTR_CALC(+-28.924); NUTR_PHOS(+-11.861); NUTR_CARB(+-1.497); NUTR_ATOC(+-0.616); NUTR_NIAC(+-0.522); NUTR_FIBE(+-0.439); NUTR_PROT(+-0.379); NUTR_FDFE(+-0.350); NUTR_VB2(+-0.113); NUTR_COPP(+-0.022)
72113100,"Dandelion greens, raw",45.0,-118.45830330645789,NUTR_VK(-86.053); NUTR_CALC(-14.966); NUTR_PHOS(-12.371); NUTR_CARB(-1.970); NUTR_FDFE(-1.103); NUTR_ATOC(-0.819); NUTR_FIBE(-0.520); NUTR_NIAC(-0.335); NUTR_PROT(-0.229); NUTR_VB2(-0.080); NUTR_COPP(-0.013),NUTR_VK(+-86.053); NUTR_CALC(+-14.966); NUTR_PHOS(+-12.371); NUTR_CARB(+-1.970); NUTR_FDFE(+-1.103); NUTR_ATOC(+-0.819); NUTR_FIBE(+-0.520); NUTR_NIAC(+-0.335); NUTR_PROT(+-0.229); NUTR_VB2(+-0.080); NUTR_COPP(+-0.013)
72110100,"Cress, raw",32.0,-117.18938003758821,NUTR_VK(-84.245); NUTR_PHOS(-20.032); NUTR_CALC(-9.116); NUTR_CARB(-1.656); NUTR_FDFE(-0.650); NUTR_NIAC(-0.584); NUTR_PROT(-0.310); NUTR_ATOC(-0.234); NUTR_FIBE(-0.230); NUTR_VB2(-0.113); NUTR_COPP(-0.019),NUTR_VK(+-84.245); NUTR_PHOS(+-20.032); NUTR_CALC(+-9.116); NUTR_CARB(+-1.656); NUTR_FDFE(+-0.650); NUTR_NIAC(+-0.584); NUTR_PROT(+-0.310); NUTR_ATOC(+-0.234); NUTR_FIBE(+-0.230); NUTR_VB2(+-0.113); NUTR_COPP(+-0.019)
72107212,"Collards, frozen, cooked, no added fat",36.0,-117.16787469128644,NUTR_VK(-85.856); NUTR_CALC(-21.008); NUTR_PHOS(-6.326); NUTR_CARB(-1.895); NUTR_FIBE(-0.520); NUTR_FDFE(-0.498); NUTR_ATOC(-0.372); NUTR_NIAC(-0.328); NUTR_PROT(-0.314); NUTR_VB2(-0.044); NUTR_COPP(-0.005),NUTR_VK(+-85.856); NUTR_CALC(+-21.008); NUTR_PHOS(+-6.326); NUTR_CARB(+-1.895); NUTR_FIBE(+-0.520); NUTR_FDFE(+-0.498); NUTR_ATOC(+-0.372); NUTR_NIAC(+-0.328); NUTR_PROT(+-0.314); NUTR_VB2(+-0.044); NUTR_COPP(+-0.005)
72104220,"Chard, cooked",44.0,-114.30654689734514,NUTR_VK(-97.935); NUTR_PHOS(-9.201); NUTR_CALC(-4.420); NUTR_CARB(-0.854); NUTR_FDFE(-0.684); NUTR_ATOC(-0.579); NUTR_FIBE(-0.258); NUTR_NIAC(-0.168); NUTR_PROT(-0.163); NUTR_VB2(-0.028); NUTR_COPP(-0.015),NUTR_VK(+-97.935); NUTR_PHOS(+-9.201); NUTR_CALC(+-4.420); NUTR_CARB(+-0.854); NUTR_FDFE(+-0.684); NUTR_ATOC(+-0.579); NUTR_FIBE(+-0.258); NUTR_NIAC(+-0.168); NUTR_PROT(+-0.163); NUTR_VB2(+-0.028); NUTR_COPP(+-0.015)
